state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
ND,2021/01/09,1,"2,391","1,577",7,0,29,128,1,"1,577","2,391",1
NV,2020/09/13,1,"8,457","5,697",48,0,152,431,1,"5,626","8,457",5
TX,2021/09/29,1,"68,467","54,315",912,30,"2,952","8,890",204,"54,315","68,467",178
CO,2020/11/07,1,"11,492","7,872",179,1,306,988,15,"7,847","11,492",13
NH,2021/11/24,1,"3,002","2,440",43,0,67,339,2,"2,440","3,002",2
NE,2021/10/11,1,"3,886","2,942",48,1,120,407,6,"2,942","3,883",7
MD,2021/08/25,1,"11,589","9,855",96,0,164,707,6,"9,855","11,589",10
DE,2021/10/05,1,"2,901","2,329",30,2,41,224,10,"2,329","2,901",2
NJ,2021/03/17,1,"24,491","17,510",260,1,372,"1,865",3,"17,510","24,491",27
NC,2021/01/20,1,"24,158","19,025",392,25,804,"3,469",22,"19,025","24,158",72
ND,2020/09/22,1,"2,492","1,657",19,1,24,160,5,"1,657","2,492",3
NJ,2020/08/03,1,"14,000","10,411",27,0,65,357,32,"9,943","14,000",3
MA,2020/06/07,1,"16,906","11,706",,,,,,"11,706","16,784",22
DC,2020/06/16,1,"2,981","2,186",,,,,,"2,186","2,844",2
AZ,2021/11/10,1,"17,510","13,821",235,5,493,"1,910",26,"13,821","17,510",84
ID,2020/08/24,1,"3,737","1,772",12,0,52,149,1,"1,708","3,664",1
CA,2021/05/09,1,"61,274","44,586",175,8,346,"1,451",40,"44,586","61,274",21
WV,2022/02/07,1,"5,649","4,639",100,2,199,"1,090",13,"4,639","5,649",0
VA,2021/12/12,1,"18,003","13,187",143,0,291,"1,192",7,"13,187","18,003",28
WY,2020/05/21,1,968,447,,,,,,447,917,0
MN,2022/01/04,1,"9,472","7,959",181,9,288,"1,369",59,"7,959","9,472",12
IA,2021/12/21,1,"7,413","5,391",130,1,159,737,8,"5,391","7,413",12
WA,2020/10/13,1,"10,276","9,908",33,1,69,289,2,"6,280","10,276",4
NC,2021/01/24,1,"24,092","18,137",323,25,721,"3,071",32,"18,137","24,092",51
NE,2021/09/02,1,"4,338","3,204",54,1,114,352,8,"3,204","4,338",7
VA,2021/11/11,1,"17,918","13,774",83,7,202,784,8,"13,774","17,918",8
MS,2021/08/15,1,"8,839","5,682",150,6,466,"1,616",22,"5,682","8,839",20
DE,2021/02/23,1,"2,668","1,862",19,1,26,172,2,"1,862","2,668",4
NC,2021/06/24,1,"24,002","18,503",47,1,103,351,7,"18,503","24,002",8
NM,2022/02/08,1,"4,273","3,323",64,3,142,607,16,"3,323","4,273",8
FL,2021/12/16,1,"59,548","47,319",228,10,276,"1,172",23,"47,319","59,548",17
DC,2022/01/08,1,"3,382","2,589",60,15,98,741,71,"2,589","3,382",4
MI,2020/11/12,1,"23,659","18,734",385,8,628,"2,821",20,"18,734","23,659",35
NM,2020/10/17,1,"3,793","2,400",32,0,70,166,2,"2,400","3,758",1
IL,2020/07/05,1,"22,697","14,512",,,,,,"12,457","22,295",8
TN,2021/05/13,1,"20,196","13,753",72,1,243,661,8,"13,753","19,625",12
CA,2021/08/15,1,"64,579","50,253",839,14,"1,649","7,176",113,"50,253","64,579",64
MI,2020/10/31,1,"23,456","17,505",271,5,377,"1,544",17,"17,505","23,456",21
NH,2021/05/31,1,"2,901","1,832",2,0,6,22,0,"1,832","2,901",0
NV,2021/02/20,1,"8,863","6,337",64,3,141,607,8,"6,337","8,863",11
NM,2020/11/05,1,"3,838","2,566",98,0,148,482,2,"2,566","3,770",10
AR,2021/04/20,1,"7,768","5,372",32,1,44,154,3,"5,372","7,768",0
ND,2021/09/11,1,"2,270","1,773",25,0,38,172,3,"1,773","2,270",2
AR,2020/04/24,1,"6,917","4,113",,,,,,"3,005","6,683",2
